model_ecc,SEOB_measured_ecc,TEOB_measured_ecc,SEOBNRE_measured_ecc
1e-07,8.30952178990834e-06,6.227867060534323e-07,1.5302279141732227e-06
1.2415371850064104e-07,8.3057180515645e-06,6.231381265637411e-07,1.4963427333356576e-06
1.5414145817536456e-07,8.310307740977024e-06,6.231284457810014e-07,1.5336725963535155e-06
1.9137235207582544e-07,8.310184365047846e-06,6.23349954409739e-07,1.5866524284966465e-06
2.375958912842765e-07,8.33243549458832e-06,6.23108943141437e-07,2.7389315400455532e-06
2.949841340341698e-07,8.315476737381808e-06,6.227165862822094e-07,1.592790288952149e-06
3.662337713903369e-07,8.312419581571668e-06,6.23152574946687e-07,1.8150330965612548e-06
4.5469284558624114e-07,8.326878690709742e-06,6.231281778171823e-07,2.05144571406946e-06
5.645180755516963e-07,8.318568120642838e-06,6.227959943738701e-07,1.785566937957061e-06
7.008701824056906e-07,8.350464905981191e-06,6.23133334773052e-07,1.915070205065131e-06
8.701563933188907e-07,8.369852698265655e-06,6.228938301103484e-07,1.9602573402665095e-06
1.0803315190764665e-06,8.366490832318128e-06,6.23133274736909e-07,2.3248244869476425e-06
1.3412717530678985e-06,8.401911801515067e-06,6.231474508680425e-07,2.206565948967718e-06
1.665238756632532e-06,8.411678295868503e-06,6.234171483361084e-07,2.384897169468847e-06
2.067455838273133e-06,8.461631759596913e-06,6.222986638964131e-07,2.6020992514511365e-06
2.5668233015746943e-06,8.56242878446003e-06,6.234515199434991e-07,2.8861530355822784e-06
3.186806576245907e-06,8.655276547424083e-06,6.235117202033794e-07,3.186594086891313e-06
3.956538865832268e-06,8.748366478987009e-06,6.222285703242817e-07,3.428287133759122e-06
4.912190125853851e-06,9.088869560336476e-06,6.236814557560795e-07,3.981892348812401e-06
6.098666701068888e-06,9.577548426453192e-06,6.22587884217942e-07,4.728237480707095e-06
7.5717214883374e-06,1.0178935108309264e-05,6.222191873900245e-07,5.50094417167831e-06
9.400573782282964e-06,1.0937669560963962e-05,6.222418631037413e-07,6.509524539839016e-06
1.1671161911100682e-05,1.2209656445040784e-05,6.229723663733693e-07,8.05935878598656e-06
1.4490181504862008e-05,1.380624320998797e-05,6.222640230552116e-07,9.603552017790124e-06
1.7990099155778334e-05,1.6057505113238358e-05,6.235577072211161e-07,1.1481214858154017e-05
2.233537706385124e-05,1.8962736687653834e-05,6.227041005703614e-07,1.3800895901357753e-05
2.7730201165910607e-05,2.2572537435414467e-05,6.234561812051293e-07,1.6669065377974992e-05
3.442807589518621e-05,2.737454511405762e-05,6.223763146142129e-07,2.0279761698651798e-05
4.274373643209663e-05,3.308921540087647e-05,6.23523745200627e-07,2.471424947471617e-05
5.306793820656121e-05,4.075724845900064e-05,6.222437431232685e-07,3.0260115833017536e-05
6.588581861506814e-05,5.01911510938405e-05,6.232308827664038e-07,3.713072555353186e-05
